,User,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
301,@FoxNews,.@JesseBWatters: “The guy had a rifle because the Bill of Rights said an 18-year-old with no criminal record can ha… https://t.co/fkSX5vjUNZ,Mon Mar 26 23:58:48 +0000 2018,-0.6808,0.0,0.763,0.237,1
302,@FoxNews,.@KyleKashuv: “Gun control won’t solve this issue. We’ve seen that we have to hold our government accountable.”… https://t.co/aB0kWxW6nj,Mon Mar 26 23:47:52 +0000 2018,0.2023,0.096,0.904,0.0,2
303,@FoxNews,.@dbongino: “The problem with this debate is you have people who live in these cultural bubbles who talk about gun… https://t.co/MKZeoA4tH5,Mon Mar 26 23:41:55 +0000 2018,-0.4019,0.0,0.881,0.119,3
304,@FoxNews,".@Judgenap on former hostage accusing FBI of misleading his family: “The FBI, in this particular case, couldn’t car… https://t.co/pceGYbiwEc",Mon Mar 26 23:24:30 +0000 2018,-0.5267,0.0,0.794,0.206,4
305,@FoxNews,Former Al Qaeda hostage in Syria alleges FBI sacrificed his safety to track terrorists. Catherine Herridge reports.… https://t.co/qtPbgkxurP,Mon Mar 26 23:17:19 +0000 2018,-0.3182,0.122,0.699,0.179,5
306,@FoxNews,"Linda Brown, center of Brown v. Board case, dead at 76 https://t.co/F5U0Bv2IgH",Mon Mar 26 23:09:14 +0000 2018,-0.6486,0.0,0.719,0.281,6
307,@FoxNews,"BREAKING: Multiple suspicious packages containing explosive material sent to DC-area military installations, neutra… https://t.co/jkwoVZgdnX",Mon Mar 26 22:56:05 +0000 2018,-0.3612,0.0,0.839,0.161,7
308,@FoxNews,".@MZHemingway: “Objectively speaking, [President Trump’s] been stronger than either of his two predecessors against… https://t.co/gRptNTfiHj",Mon Mar 26 22:50:01 +0000 2018,0.3818,0.157,0.843,0.0,8
309,@FoxNews,John Sununu: “The president is…trying to reduce trade imbalance by a hundred billion dollars. If he succeeds in tha… https://t.co/9187qaBgvz,Mon Mar 26 22:42:00 +0000 2018,0.4939,0.151,0.849,0.0,9
310,@FoxNews,"Stoneman Douglas memorial site robbed of teddy bears, mementos; 2 arrested https://t.co/8w9BgNFxrw",Mon Mar 26 22:34:00 +0000 2018,-0.4767,0.0,0.763,0.237,10
311,@FoxNews,Cat returns home two days after owners bury its 'remains' https://t.co/5aYPrD5J0y,Mon Mar 26 22:26:04 +0000 2018,0.0,0.0,1.0,0.0,11
312,@FoxNews,"Former NFL cheerleader claims she was fired over Instagram picture, report says (via @RyanGaydos) https://t.co/ZxCdXpS6ZF",Mon Mar 26 22:11:00 +0000 2018,-0.4019,0.103,0.703,0.195,12
313,@FoxNews,"Orlando nightclub shooter's father, an FBI informant, brushed off son's terror comments, agent says https://t.co/m1HPaDrAtL",Mon Mar 26 22:02:00 +0000 2018,-0.5267,0.0,0.805,0.195,13
314,@FoxNews,OPINION: Reagan was the 'Great Communicator' but #Trump may be a more powerful one  https://t.co/97xBRoVcMz,Mon Mar 26 22:00:01 +0000 2018,0.771,0.358,0.642,0.0,14
315,@FoxNews,Ohio Gov. @JohnKasich commutes death sentence of man who killed woman during robbery https://t.co/bF1ezbBaTB,Mon Mar 26 21:55:00 +0000 2018,-0.8442,0.063,0.531,0.406,15
316,@FoxNews,"Stormy Daniels files defamation suit against Trump attorney Michael Cohen - via @brookefoxnews 
https://t.co/BzkxtA06fu",Mon Mar 26 21:53:20 +0000 2018,0.0,0.0,1.0,0.0,16
317,@FoxNews,.@kimguilfoyle on President #Trump expelling dozens of Russian diplomats: “It bodes very well for United States nat… https://t.co/O9WeVfOnRC,Mon Mar 26 21:52:45 +0000 2018,0.4323,0.237,0.651,0.113,17
318,@FoxNews,.@TheJuanWilliams on President #Trump expelling dozens of Russian diplomats: “I think that people who were critical… https://t.co/5h3CZkQs3j,Mon Mar 26 21:44:29 +0000 2018,-0.3818,0.0,0.86,0.14,18
319,@FoxNews,.@JesseBWatters: “The guy had a rifle because the Bill of Rights said an 18-year-old with no criminal record can ha… https://t.co/MfcOw5CC3y,Mon Mar 26 21:31:45 +0000 2018,-0.6808,0.0,0.763,0.237,19
